DATASET_ID,DATASET_NAME,DATASET_FQN,SOURCE_SYSTEM,SOURCE_DOMAIN,LAYER,CLASSIFICATION_TIER,IS_APM_REGISTERED,IS_SOX_RELEVANT,LOAD_FREQUENCY,SLA_HOURS,UPDATED_AT,UPDATED_BY
DS_POSITION_REPORT,Workday Position Report,EDLE_DW_DB.PNC_DATA.DT_POSITION_REPORT,Workday,P&C,SILVER,CORE,True,True,WEEKLY,168,2026-05-06 15:37:37.267744,prototype
DS_POSITION_REPORT_VW,Position Report Public View,EDLE_PUBL_DB.PNC_DATA.STG_POSITION_REPORT_VW,Workday,P&C,VIEW,CORE,True,True,WEEKLY,168,2026-05-06 15:37:37.268100,prototype
DS_TRENDED_REPORT,Workday Trended Report,EDLE_DW_DB.PNC_DATA.DT_TRENDED_REPORT,Workday,P&C,SILVER,CORE,True,False,MONTHLY,840,2026-05-06 15:37:37.268346,prototype
DS_TRENDED_REPORT_VW,Trended Report Public View,EDLE_PUBL_DB.PNC_DATA.STG_TRENDED_REPORT_VW,Workday,P&C,VIEW,CORE,True,False,MONTHLY,840,2026-05-06 15:37:37.268583,prototype
DS_WORKPLACE_TRANSITION,Workplace Transition / RTO,EDLE_DW_DB.PNC_DATA.TRAN_DT_WRKPLCTRNS_CONSOLIDATED,Workday + Badge (CCURE/DSX/RS2),P&C,SILVER,APM,True,False,DAILY,36,2026-05-06 15:37:37.268815,prototype
DS_BEELINE_CONSO,Beeline Consolidated (FPA),EDLE_DW_DB.FPA_DATA.DT_BEELINE_CONSO,Beeline,FPA,SILVER,APM,True,False,DAILY,24,2026-05-06 15:37:37.269052,prototype
DS_BEELINE_WORKER,Beeline WBD Worker (FPA),EDLE_PUBL_DB.FPA_DATA.STG_BEELINE_WBD_WORKER,Beeline,FPA,VIEW,APM,True,False,DAILY,24,2026-05-06 15:37:37.269285,prototype
